user_id,business_id,rating,breakfast,lunch,dinner
qQecSd0lynfB4g-LPa9JCw,-Ylpy3VyRWwubf9dysuwjQ,4.730769230769232,False,True,True
qQecSd0lynfB4g-LPa9JCw,oJZNHz5UUVUgrZwVBVlpYw,4.3,False,True,True
qQecSd0lynfB4g-LPa9JCw,_j2EtQtgLuXGRBfbM5YwZA,4.25,False,True,True
qQecSd0lynfB4g-LPa9JCw,Ou8pYS24azDWG0ru_vUcqg,4.245934959349594,True,True,True
qQecSd0lynfB4g-LPa9JCw,Cni2l-VKG_pdospJ6xliXQ,4.236111111111111,False,True,True
qQecSd0lynfB4g-LPa9JCw,ujHiaprwCQ5ewziu0Vi9rw,4.139029090203367,False,True,True
qQecSd0lynfB4g-LPa9JCw,OVTZNSkSfbl3gVB9XQIJfw,4.1371425730573606,False,True,True
qQecSd0lynfB4g-LPa9JCw,MnYGGxWpMyQ7oncUPjbEmw,4.0,False,True,False
qQecSd0lynfB4g-LPa9JCw,RycZOiohghoI0Ssg2Qqgqw,3.9476190476190482,True,True,False
qQecSd0lynfB4g-LPa9JCw,tjYHsz4ydS6GuBSv-uifQA,3.928571428571429,False,True,True
qQecSd0lynfB4g-LPa9JCw,d_L-rfS1vT3JMzgCUGtiow,3.75,False,True,True
qQecSd0lynfB4g-LPa9JCw,4JNXUYY8wbaaDmk3BPzlWw,3.6447773716318,False,True,True
qQecSd0lynfB4g-LPa9JCw,2weQS-RnoOBhb1KsHKyoSQ,3.595336240767697,False,True,True
qQecSd0lynfB4g-LPa9JCw,ZCQa7CJxZ-53Zxd_pobWug,3.5757967568685083,False,True,False
qQecSd0lynfB4g-LPa9JCw,ZkGDCVKSdf8m76cnnalL-A,3.5040257532246857,False,True,False
