user_id,business_id,rating
Ud72j_rglYmXrL_O8zCdoA,ZkGDCVKSdf8m76cnnalL-A,5
0GMMy-FD8ImVsF4M6CAE5Q,ZkGDCVKSdf8m76cnnalL-A,4
0GMMy-FD8ImVsF4M6CAE5Q,LJvGjabschy4zGXwnAk2Wg,4
7VjGynQ1oCHZlytlm23Tgg,MqYYYNA-ZYvV-1w5qcmMoA,5
M36eKrxmWHYJvzZs83aEVA,Cr4ipI-tr-R8Q0NilkWNkA,5
kgHcYU5dZRgwZQFoVrzNnA,ZpMoI5EECS6Rm7KigN1gPg,3
G5LXEaxhQMF_BVjNHkVr7g,--9e1ONYQuAa-CB_Rrw7Tw,5
nzsv-p1O8gCfP3XijfQrIw,BjH8Xepc10i6OhCDQdX6og,4
NkVYcoaThHjOfTTgq6OdHQ,w12x7UBSSRsdbp3ZqguG3Q,5
7NqIr1o_3ri5YpACRH_Mug,vvc7L68Mu3Fa4OnZ8rviFA,1
bA6sFAZTIc5ddwpnB_WJUw,Cni2l-VKG_pdospJ6xliXQ,4
k4h5VRMWiKzWYPDW1gLj6A,uz77ng57t-sFnEjKbTAPrQ,5
B4cJvWuf59j7XlTdexnVZw,Cni2l-VKG_pdospJ6xliXQ,4
nzsv-p1O8gCfP3XijfQrIw,fWEfX14W2_7GDOJBSQQU9Q,4
qxC3xdg8UUKdNK9cisEmAg,XZbuPXdyA0ZtTu3AzqtQhg,5
QabaBQ1Z_ZLhz85We5KBJQ,TuA6RNMVHAlqyOKDrgaKPw,5
BSad_A8gpQ0_D-wrabpMLQ,Cr4ipI-tr-R8Q0NilkWNkA,5
VQ-RXIZCH-7eRG8jSMmr9w,S-xZzaHeMyMcqf66GAC4wA,3
_BHTC7nyCBoZcfiiD5cOXg,pmoIMK8zGWvKsVOPDBYfzg,5
VQ-RXIZCH-7eRG8jSMmr9w,Kn23LDd740SBVJ7mum0fwg,4
B0QGBVCUm54vs_waVzcScA,yQfiIg-HDflMzBKOfyTqQA,4
B0QGBVCUm54vs_waVzcScA,ry-FLqYclt7okJbdYcmOhw,4
B0QGBVCUm54vs_waVzcScA,XXW_OFaYQkkGOGniujZFHg,5
gjZp61JZaqcLrKjEDVSPIQ,XXW_OFaYQkkGOGniujZFHg,5
4Xi2i_i1RzKkoJ41_1JHig,xkVMIk_Vqh17f48ZQ_6b0w,4
gZ-CewXerXlytUGV-4nFRA,rcaPajgKOJC2vo_l3xa42A,5
gZ-CewXerXlytUGV-4nFRA,Kn23LDd740SBVJ7mum0fwg,4
gZ-CewXerXlytUGV-4nFRA,LtXy1VinKWfuLFslVarKRw,4
gZ-CewXerXlytUGV-4nFRA,QJR4qBUHegWEozSQrGmBPw,4
gZ-CewXerXlytUGV-4nFRA,xiAiahsdBfTxYCFfvZmMfQ,4
X4KP6ZK0ST-jF46KpAhxzg,LtXy1VinKWfuLFslVarKRw,4
qEYG5IE5dTekjIhdoV31bQ,4JNXUYY8wbaaDmk3BPzlWw,5
YeoDS1ZbCxUlte6YA_Awtw,ijg7qQCYnhUWBd5JUxbfvA,3
k2zuwaAne-FhHd8M6bXnyQ,QJR4qBUHegWEozSQrGmBPw,5
k2zuwaAne-FhHd8M6bXnyQ,4JNXUYY8wbaaDmk3BPzlWw,5
hlrv5tQ2jR3ICoZH5qlHpw,dusNIzdCaH6EoLl2hRy6cQ,1
UQFE3BT1rsIYrcDvu_XVow,El4FC8jcawUVgw_0EIcbaQ,5
quQ657_JzIKLeIYFeA-mwQ,I6EDDi4-Eq_XlFghcDCUhw,5
IDVX4Is4CanREchBmpFXoA,TuA6RNMVHAlqyOKDrgaKPw,5
_BHTC7nyCBoZcfiiD5cOXg,5z1WIr7E9P2CSzyN5seeSA,5
_BHTC7nyCBoZcfiiD5cOXg,Lau3N654yNyWdIIybea1uA,4
_BHTC7nyCBoZcfiiD5cOXg,El4FC8jcawUVgw_0EIcbaQ,5
k2zuwaAne-FhHd8M6bXnyQ,Lau3N654yNyWdIIybea1uA,3
eCcjxh8zjAqn-kZVWZ_HJQ,g62SlImzhs6_1t-knPjd8w,3
