business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
SU56w479vUfFHsvmvQIf7A, 1, 1, 2, 1, 2,0,0,0,0,0,0,0,0,0,0,0,0, 1, 2, 5, 7,0,0,0
hRQS8y-uG2kc8miWVYiLuQ, 16, 17, 40, 31, 27, 14, 2, 1,0,0,0,0,0, 2,0,0,0,0,0,0, 1, 2,0, 1
SRUHJIKqhvKu2BFDTSoPww,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fTtkz2RhWNAp6jKiIzXf_A, 9, 14, 1, 2,0, 1, 1, 1,0,0,0,0,0,0,0, 1,0, 3, 16, 32, 25, 19, 12, 9
WK542yG4t2PUvaBOkjcwNA,0,0,0,0,0, 2,0,0,0,0,0,0,0,0,0,0,0, 2, 1,0, 1,0, 1,0
4mYPOzBokDgz307TW2EIKw, 5, 5, 1, 5,0, 2, 2,0,0,0,0,0,0,0,0, 1, 1, 2, 4, 1, 1, 4,0, 2
ijg7qQCYnhUWBd5JUxbfvA, 5, 8, 6, 8, 9, 9, 8, 7, 8, 3, 3, 1, 1,0, 1, 1, 6, 4, 6, 6, 4, 5, 3, 3
ai5dbb7P-qwt113PaJJCwg, 2, 2, 1, 1, 2,0, 3,0,0,0,0, 1,0,0,0, 2, 2, 2, 5, 6, 3, 2, 1, 1
BG8lvZoPTrPJqcvTh-ytzg,0, 1, 4, 2, 2,0, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6r8YOdxoNYfkEfqxl-nO1A,0,0,0,0,0,0,0, 1,0,0,0,0,0,0,0,0,0, 1,0,0,0, 1,0,0
hLu4q64lPvF--9gd58lcPg,0, 1,0,0,0,0, 1,0,0, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LwQB9H3jZ9wTk24Lr-AnZQ, 34, 50, 70, 49, 48, 33, 8, 4, 1,0,0,0, 1,0,0, 2, 1, 2, 11, 20, 35, 27, 25, 19
nDKcQkh8vZkY_u1kyww44g, 17, 17, 7, 12, 2, 4,0, 1, 1, 1,0,0,0, 2, 5, 4,0, 2, 5, 6, 6, 8, 3, 7
BEplfZTUzYwApjMUaOA12w, 15, 13, 33, 24, 18, 11, 4,0,0,0, 1,0,0,0, 1, 2, 3, 3, 1, 17, 20, 13, 10, 14
Z3owSx_4NJerX08DO5FOtA, 4, 3, 1, 5, 5, 1,0,0, 1,0,0,0,0,0,0,0,0,0, 1, 1, 1, 5, 6,0
cyV6Y8eOgpDTtdJQnB6FaA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 1,0,0,0,0,0,0
