business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
SU56w479vUfFHsvmvQIf7A, 1, 4, 4, 4, 2, 3,0,0,0,0,0,0,0,0,0,0,0,0, 1, 2, 7, 2,0,0
hRQS8y-uG2kc8miWVYiLuQ, 12, 20, 34, 36, 20, 12, 1, 3,0,0,0, 2,0, 1, 1,0, 1,0,0,0, 2,0,0, 7
SRUHJIKqhvKu2BFDTSoPww,0,0,0,0,0,0, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fTtkz2RhWNAp6jKiIzXf_A, 4, 7, 6, 3, 1,0, 1,0,0,0,0,0,0,0,0,0, 1, 7, 18, 25, 24, 13, 9, 11
WK542yG4t2PUvaBOkjcwNA,0,0,0,0, 1,0,0,0,0,0, 1,0,0,0,0,0,0,0,0,0, 1,0, 2, 1
4mYPOzBokDgz307TW2EIKw, 2, 3,0, 2, 2,0, 1,0,0,0, 2,0,0,0, 2, 2, 1, 3, 2, 2, 3, 2, 3, 3
ijg7qQCYnhUWBd5JUxbfvA, 2, 6, 3, 6, 8, 3, 5, 12, 7, 11, 6, 8, 1, 4, 6, 3, 5, 9, 11, 16, 11, 5, 9, 4
ai5dbb7P-qwt113PaJJCwg, 1, 1, 1, 3, 2, 2, 2, 5, 1,0,0,0,0,0,0, 4, 2, 5, 3, 4, 2, 2, 2,0
BG8lvZoPTrPJqcvTh-ytzg, 2, 2,0, 2, 1, 1,0,0,0, 1,0,0,0,0,0,0, 1, 1,0,0,0,0,0,0
6r8YOdxoNYfkEfqxl-nO1A,0, 1,0, 1,0,0,0,0,0,0, 1,0,0,0,0, 1,0, 1, 1, 1,0,0,0,0
hLu4q64lPvF--9gd58lcPg, 1, 1,0,0,0,0,0, 1, 2,0,0,0,0,0,0,0,0,0,0, 1,0,0,0,0
LwQB9H3jZ9wTk24Lr-AnZQ, 18, 29, 45, 54, 40, 20, 6, 2, 1,0,0,0,0,0,0, 3, 1, 1, 10, 35, 35, 32, 31, 17
